State,Case_#,Distracted
Alabama,10343,Not Distracted
Alabama,10343,Not Distracted
Alabama,10344,Not Distracted
Alabama,10345,Not Distracted
Alabama,10346,Not Distracted
Alabama,10346,Not Distracted
Alabama,10347,Not Distracted
Alabama,10347,Not Distracted
Alabama,10348,Not Distracted
Alabama,10348,Not Distracted
Alabama,10349,Unknown if Distracted
Alabama,10349,Not Distracted
Alabama,10350,Not Distracted
Alabama,10351,Not Distracted
Alabama,10351,Not Distracted
Alabama,10352,Not Distracted
Alabama,10353,Not Distracted
Alabama,10354,Not Distracted
Alabama,10354,Not Distracted
Alabama,10354,Not Distracted
Alabama,10355,Not Distracted
Alabama,10355,Not Distracted
Alabama,10356,Not Distracted
Alabama,10356,Not Distracted
Alabama,10357,Other Distraction
Alabama,10358,Unknown if Distracted
Alabama,10358,Not Distracted
Alabama,10359,Not Distracted
Alabama,10360,Not Distracted
Alabama,10361,Not Distracted
Alabama,10362,Not Distracted
Alabama,10363,Not Distracted
Alabama,10364,Not Distracted
Alabama,10365,Not Distracted
Alabama,10366,Not Distracted
Alabama,10366,Not Distracted
Alabama,10366,Not Distracted
Alabama,10367,Not Distracted
Alabama,10367,Not Distracted
Alabama,10367,Not Distracted
Alabama,10368,Not Distracted
Alabama,10368,Not Distracted
Alabama,10369,Not Distracted
Alabama,10370,Not Distracted
Alabama,10370,Not Distracted
Alabama,10371,Not Distracted
Alabama,10371,Not Distracted
Alabama,10372,Not Distracted
Alabama,10373,Not Distracted
Alabama,10374,Not Distracted
Alabama,10375,Not Distracted
Alabama,10376,Not Distracted
Alabama,10377,Not Distracted
Alabama,10378,Not Distracted
Alabama,10379,Not Distracted
Alabama,10379,Not Distracted
Alabama,10380,Not Distracted
Alabama,10380,Not Distracted
Alabama,10381,Not Distracted
Alabama,10382,By Other Occupant(s)
Alabama,10382,Not Distracted
Alabama,10383,Not Distracted
Alabama,10384,Not Distracted
Alabama,10385,Not Distracted
Alabama,10386,Not Distracted
Alabama,10387,Not Distracted
Alabama,10388,Not Distracted
Alabama,10388,Not Distracted
Alabama,10389,Not Distracted
Alabama,10390,Not Distracted
Alabama,10391,Not Distracted
Alabama,10392,Not Distracted
Alabama,10393,Not Distracted
Alabama,10394,Not Distracted
Alabama,10394,Not Distracted
Alabama,10395,Not Distracted
Alabama,10396,Not Distracted
Alabama,10397,Not Distracted
Alabama,10397,Not Distracted
Alabama,10398,Not Distracted
Alabama,10399,Not Distracted
Alabama,10399,Not Distracted
Alabama,10400,Not Distracted
Alabama,10400,Not Distracted
Alabama,10401,Not Distracted
Alabama,10402,Not Distracted
Alabama,10403,Not Distracted
Alabama,10404,Not Distracted
Alabama,10405,Not Distracted
Alabama,10406,Not Distracted
Alabama,10406,Not Distracted
Alabama,10407,While Using or Reaching for Device/Object Brought into Vehicle
Alabama,10407,Not Distracted
Alabama,10408,Not Reported
Alabama,10408,Not Reported
Alabama,10409,Not Distracted
Alabama,10409,Not Distracted
Alabama,10410,Not Distracted
Alabama,10410,Not Distracted
Alabama,10411,Not Distracted
Alabama,10412,Not Distracted
Alabama,10413,Not Distracted
Alabama,10414,Not Distracted
Alabama,10415,Not Distracted
Alabama,10416,Not Distracted
Alabama,10417,Unknown if Distracted
Alabama,10418,Not Distracted
Alabama,10418,Not Distracted
Alabama,10418,Not Distracted
Alabama,10419,Not Reported
Alabama,10420,Not Distracted
Alabama,10421,Not Distracted
Alabama,10421,Not Distracted
Alabama,10422,Not Distracted
Alabama,10422,Not Distracted
Alabama,10423,Not Distracted
Alabama,10424,Not Distracted
Alabama,10424,Not Distracted
Alabama,10425,Not Distracted
Alabama,10426,Not Distracted
Alabama,10427,Not Reported
Alabama,10427,Not Reported
Alabama,10428,Not Reported
Alabama,10428,Not Reported
Alabama,10428,Not Distracted
Alabama,10429,Not Distracted
Alabama,10429,While Manipulating Cellular Phone
Alabama,10430,Not Distracted
Alabama,10431,Not Distracted
Alabama,10432,Not Distracted
Alabama,10433,Not Distracted
Alabama,10433,Not Distracted
Alabama,10433,Not Distracted
Alabama,10433,Not Distracted
Alabama,10433,Not Distracted
